zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
23071,51119, ,Middlesex VA,"Hartfield, VA",1050,1
23072,51073, ,Gloucester VA,"Gloucester Point, VA",5103,1
23075,51087, ,Henrico VA,"Highland Springs, VA",4308,1
23076,51115, ,Mathews VA,"Hudgins, VA",403,1
23079,51119, ,Middlesex VA,"Jamaica, VA",289,1
23083,51007, ,Amelia VA,"Jetersville, VA",753,0.991
23083,51135, ,Nottoway VA,"Jetersville, VA",7,0.009
23084,51065, ,Fluvanna VA,"Kents Store, VA",501,0.646
23084,51075, ,Goochland VA,"Kents Store, VA",185,0.238
23084,51109, ,Louisa VA,"Kents Store, VA",90,0.116
23085,51097, ,King and Queen VA,"King And Queen Court House, VA",199,1
23086,51101, ,King William VA,"King William, VA",1348,1
23089,51095, ,James City VA,"Lanexa, VA",862,0.384
23089,51127, ,New Kent VA,"Lanexa, VA",1380,0.616
23091,51097, ,King and Queen VA,"Little Plymouth, VA",154,1
23092,51119, ,Middlesex VA,"Locust Hill, VA",294,1
23093,51065, ,Fluvanna VA,"Louisa, VA",17,0.003
23093,51075, ,Goochland VA,"Louisa, VA",297,0.051
23093,51109, ,Louisa VA,"Louisa, VA",5508,0.946
23102,51075, ,Goochland VA,"Maidens, VA",938,0.856
23102,51085, ,Hanover VA,"Maidens, VA",48,0.044
23102,51109, ,Louisa VA,"Maidens, VA",110,0.1
23103,51075, ,Goochland VA,"Manakin Sabot, VA",1998,1
23106,51101, ,King William VA,"Manquin, VA",407,1
23108,51097, ,King and Queen VA,"Mascot, VA",73,1
23109,51115, ,Mathews VA,"Mathews, VA",958,1
23110,51097, ,King and Queen VA,"Mattaponi, VA",393,1
23111,51085, ,Hanover VA,"Mechanicsville, VA",14351,1
23112,51041, ,Chesterfield VA,"Midlothian, VA",18372,1
23113,51041, ,Chesterfield VA,"Midlothian, VA",8981,0.948
23113,51145, ,Powhatan VA,"Midlothian, VA",490,0.052
23114,51041, ,Chesterfield VA,"Midlothian, VA",6719,1
23115,51057, ,Essex VA,"Millers Tavern, VA (PO Boxes)",62,1
23116,51085, ,Hanover VA,"Mechanicsville, VA",9796,1
23117,51075, ,Goochland VA,"Mineral, VA",93,0.018
23117,51109, ,Louisa VA,"Mineral, VA",4323,0.818
23117,51177, ,Spotsylvania VA,"Mineral, VA",870,0.165
23119,51115, ,Mathews VA,"Moon, VA",214,1
23120,51041, ,Chesterfield VA,"Moseley, VA",1664,0.86
23120,51145, ,Powhatan VA,"Moseley, VA",271,0.14
23123,51029, ,Buckingham VA,"New Canton, VA",874,0.954
23123,51049, ,Cumberland VA,"New Canton, VA",42,0.046
23124,51127, ,New Kent VA,"New Kent, VA",1212,1
23125,51115, ,Mathews VA,"New Point, VA",222,1
23126,51097, ,King and Queen VA,"Newtown, VA",242,1
23128,51073, ,Gloucester VA,"North, VA",164,0.286
23128,51115, ,Mathews VA,"North, VA",410,0.714
23129,51075, ,Goochland VA,"Oilville, VA",145,1
23130,51115, ,Mathews VA,"Onemo, VA",160,1
23138,51115, ,Mathews VA,"Port Haywood, VA",610,1
23139,51049, ,Cumberland VA,"Powhatan, VA",77,0.008
23139,51145, ,Powhatan VA,"Powhatan, VA",9281,0.992
23140,51036, ,Charles City VA,"Providence Forge, VA",763,0.357
23140,51127, ,New Kent VA,"Providence Forge, VA",1377,0.643
23141,51127, ,New Kent VA,"Quinton, VA",2597,1
23146,51075, ,Goochland VA,"Rockville, VA",175,0.145
23146,51085, ,Hanover VA,"Rockville, VA",1030,0.855
23148,51057, ,Essex VA,"Saint Stephens Church, VA",95,0.117
23148,51097, ,King and Queen VA,"Saint Stephens Church, VA",715,0.883
23149,51073, ,Gloucester VA,"Saluda, VA",527,0.388
23149,51097, ,King and Queen VA,"Saluda, VA",166,0.122
23149,51119, ,Middlesex VA,"Saluda, VA",664,0.489
23150,51087, ,Henrico VA,"Sandston, VA",5264,1
23153,51075, ,Goochland VA,"Sandy Hook, VA",524,1
23156,51097, ,King and Queen VA,"Shacklefords, VA",775,1
23160,51145, ,Powhatan VA,"State Farm, VA",1,1
23161,51097, ,King and Queen VA,"Stevensville, VA",106,1
23163,51115, ,Mathews VA,"Susan, VA",176,1
23168,51095, ,James City VA,"Toano, VA",2360,1
23169,51119, ,Middlesex VA,"Topping, VA",820,1
23173,51760, ,Richmond city VA,"Richmond, VA",39,1
23175,51119, ,Middlesex VA,"Urbanna, VA",1285,1
23176,51119, ,Middlesex VA,"Wake, VA",356,1
23177,51097, ,King and Queen VA,"Walkerton, VA",280,0.851
23177,51101, ,King William VA,"Walkerton, VA",49,0.149
23180,51119, ,Middlesex VA,"Water View, VA",267,1
23181,51101, ,King William VA,"West Point, VA",1992,0.866
23181,51127, ,New Kent VA,"West Point, VA",309,0.134
23185,51036, ,Charles City VA,"Williamsburg, VA",29,0.001
23185,51095, ,James City VA,"Williamsburg, VA",10928,0.532
23185,51199, ,York VA,"Williamsburg, VA",5109,0.249
23185,51830, ,Williamsburg city VA,"Williamsburg, VA",4478,0.218
23188,51095, ,James City VA,"Williamsburg, VA",15647,0.895
23188,51199, ,York VA,"Williamsburg, VA",1137,0.065
23188,51830, ,Williamsburg city VA,"Williamsburg, VA",698,0.04
23192,51085, ,Hanover VA,"Montpelier, VA",2545,0.955
23192,51109, ,Louisa VA,"Montpelier, VA",121,0.045
23219,51760, ,Richmond city VA,"Richmond, VA",2135,1
23220,51760, ,Richmond city VA,"Richmond, VA",16609,1
23221,51760, ,Richmond city VA,"Richmond, VA",7816,1
23222,51087, ,Henrico VA,"Richmond, VA",3065,0.279
23222,51760, ,Richmond city VA,"Richmond, VA",7936,0.721
23223,51087, ,Henrico VA,"Richmond, VA",10610,0.482
23223,51760, ,Richmond city VA,"Richmond, VA",11407,0.518
23224,51041, ,Chesterfield VA,"Richmond, VA",1225,0.083
23224,51760, ,Richmond city VA,"Richmond, VA",13603,0.917
23225,51041, ,Chesterfield VA,"Richmond, VA",1982,0.1
23225,51760, ,Richmond city VA,"Richmond, VA",17887,0.9
23226,51087, ,Henrico VA,"Richmond, VA",3627,0.484
23226,51760, ,Richmond city VA,"Richmond, VA",3873,0.516
23227,51087, ,Henrico VA,"Richmond, VA",7026,0.55
23227,51760, ,Richmond city VA,"Richmond, VA",5737,0.45
23228,51087, ,Henrico VA,"Laurel, VA",16089,1
23229,51087, ,Henrico VA,"Tuckahoe, VA",13736,1
23230,51087, ,Henrico VA,"Richmond, VA",1550,0.531
23230,51760, ,Richmond city VA,"Richmond, VA",1367,0.469
23231,51036, ,Charles City VA,"Richmond, VA",137,0.009
23231,51087, ,Henrico VA,"Richmond, VA",12334,0.854
23231,51760, ,Richmond city VA,"Richmond, VA",1967,0.136
23233,51075, ,Goochland VA,"Short Pump, VA",125,0.01
23233,51087, ,Henrico VA,"Short Pump, VA",12020,0.99
23234,51041, ,Chesterfield VA,"Meadowbrook, VA",12002,0.708
23234,51760, ,Richmond city VA,"Meadowbrook, VA",4950,0.292
23235,51041, ,Chesterfield VA,"Bon Air, VA",10426,0.775
23235,51760, ,Richmond city VA,"Bon Air, VA",3023,0.225
23236,51041, ,Chesterfield VA,"Richmond, VA",10219,1
23237,51041, ,Chesterfield VA,"Richmond, VA",8311,1
23238,51075, ,Goochland VA,"Richmond, VA",796,0.069
23238,51087, ,Henrico VA,"Richmond, VA",10802,0.931
23294,51087, ,Henrico VA,"Richmond, VA",8367,1
23301,51001, ,Accomack VA,"Accomac, VA",795,1
23302,51001, ,Accomack VA,"Assawoman, VA",79,1
23303,51001, ,Accomack VA,"Atlantic, VA",366,1
23304,51093, ,Isle of Wight VA,"Battery Park, VA (PO Boxes)",37,1
23306,51001, ,Accomack VA,"Belle Haven, VA",523,1
23307,51131, ,Northampton VA,"Birdsnest, VA",391,1
23308,51001, ,Accomack VA,"Bloxom, VA",955,1
23310,51131, ,Northampton VA,"Cape Charles, VA",2955,1
23313,51131, ,Northampton VA,"Capeville, VA (PO Boxes)",45,1
23314,51093, ,Isle of Wight VA,"Carrollton, VA",2919,1
23315,51093, ,Isle of Wight VA,"Carrsville, VA",674,1
23316,51131, ,Northampton VA,"Cheriton, VA",171,1
23320,51550, ,Chesapeake city VA,"Chesapeake, VA",21820,1
23321,51550, ,Chesapeake city VA,"Chesapeake, VA",12598,0.998
23321,51800, ,Suffolk city VA,"Chesapeake, VA",21,0.002
23322,51550, ,Chesapeake city VA,"Chesapeake, VA",19878,1
23323,51550, ,Chesapeake city VA,"Chesapeake, VA",12548,1
23324,51550, ,Chesapeake city VA,"Chesapeake, VA",9259,1
23325,51550, ,Chesapeake city VA,"Chesapeake, VA",7093,1
23336,51001, ,Accomack VA,"Chincoteague, VA",4519,1
23337,51001, ,Accomack VA,"Wattsville, VA",199,1
23347,51131, ,Northampton VA,"Eastville, VA (PO Boxes)",365,1
23350,51131, ,Northampton VA,"Exmore, VA",1920,1
23354,51131, ,Northampton VA,"Franktown, VA",109,1
23356,51001, ,Accomack VA,"Captains Cove, VA",996,1
23357,51001, ,Accomack VA,"Chase Crossing, VA",316,1
23358,51001, ,Accomack VA,"Hacksneck, VA (PO Boxes)",119,1
23359,51001, ,Accomack VA,"Hallwood, VA",374,1
23389,51001, ,Accomack VA,"Harborton, VA",103,1
23395,51001, ,Accomack VA,"Horntown, VA",1177,1
23398,51131, ,Northampton VA,"Jamesville, VA (PO Boxes)",144,1
23401,51001, ,Accomack VA,"Keller, VA",112,1
23405,51131, ,Northampton VA,"Machipongo, VA",605,1
23407,51001, ,Accomack VA,"Nelsonia, VA",166,1
23408,51131, ,Northampton VA,"Marionville, VA (PO Boxes)",48,1
23409,51001, ,Accomack VA,"Mears, VA",49,1
23410,51001, ,Accomack VA,"Melfa, VA",997,1
23413,51131, ,Northampton VA,"Nassawadox, VA",462,1
23414,51001, ,Accomack VA,"Nelsonia, VA",46,1
23415,51001, ,Accomack VA,"New Church, VA",937,1
23416,51001, ,Accomack VA,"Oak Hall, VA",169,1
23417,51001, ,Accomack VA,"Onancock, VA",2352,1
23418,51001, ,Accomack VA,"Onley, VA",465,1
23420,51001, ,Accomack VA,"Painter, VA",1172,1
23421,51001, ,Accomack VA,"Parksley, VA",1965,1
23422,51001, ,Accomack VA,"Pungoteague, VA",142,1
23423,51001, ,Accomack VA,"Quinby, VA",265,1
23426,51001, ,Accomack VA,"Sanford, VA",133,1
23427,51001, ,Accomack VA,"Saxis, VA",181,1
23430,51093, ,Isle of Wight VA,"Smithfield, VA",7104,1
23432,51800, ,Suffolk city VA,"Suffolk, VA",669,1
23433,51800, ,Suffolk city VA,"Suffolk, VA",543,1
23434,51800, ,Suffolk city VA,"Suffolk, VA",18973,1
23435,51800, ,Suffolk city VA,"Suffolk, VA",9937,1
23436,51800, ,Suffolk city VA,"Suffolk, VA",382,1
23437,51800, ,Suffolk city VA,"Suffolk, VA",1777,1
23438,51800, ,Suffolk city VA,"Suffolk, VA",733,1
23440,51001, ,Accomack VA,"Tangier, VA",377,1
23441,51001, ,Accomack VA,"Tasley, VA",80,1
23442,51001, ,Accomack VA,"Temperanceville, VA",496,1
23451,51810, ,Virginia Beach city VA,"Virginia Beach, VA",23513,1
23452,51810, ,Virginia Beach city VA,"Virginia Beach, VA",23662,1
23453,51810, ,Virginia Beach city VA,"Virginia Beach, VA",12701,1
23454,51810, ,Virginia Beach city VA,"Virginia Beach, VA",24246,1
23455,51810, ,Virginia Beach city VA,"Virginia Beach, VA",20439,1
23456,51810, ,Virginia Beach city VA,"Virginia Beach, VA",18247,1
23457,51810, ,Virginia Beach city VA,"Virginia Beach, VA",1656,1
23459,51810, ,Virginia Beach city VA,"Virginia Beach, VA",270,1
23462,51810, ,Virginia Beach city VA,"Virginia Beach, VA",26087,1
23464,51810, ,Virginia Beach city VA,"Virginia Beach, VA",27058,1
23480,51001, ,Accomack VA,"Wachapreague, VA",286,1
23486,51131, ,Northampton VA,"Willis Wharf, VA (PO Boxes)",81,1
23487,51093, ,Isle of Wight VA,"Windsor, VA",2579,1
23488,51001, ,Accomack VA,"Withams, VA (PO Boxes)",90,1
23502,51710, ,Norfolk city VA,"Norfolk, VA",8440,1
23503,51710, ,Norfolk city VA,"Norfolk, VA",15006,1
23504,51710, ,Norfolk city VA,"Norfolk, VA",8789,1
23505,51710, ,Norfolk city VA,"Norfolk, VA",13097,1
23507,51710, ,Norfolk city VA,"Norfolk, VA",3535,1
23508,51710, ,Norfolk city VA,"Norfolk, VA",6696,1
23509,51710, ,Norfolk city VA,"Norfolk, VA",5459,1
23510,51710, ,Norfolk city VA,"Norfolk, VA",3557,1
23511,51710, ,Norfolk city VA,"Norfolk, VA",141,1
23513,51710, ,Norfolk city VA,"Norfolk, VA",12341,1
23517,51710, ,Norfolk city VA,"Norfolk, VA",2502,1
23518,51710, ,Norfolk city VA,"Norfolk, VA",12581,1
23523,51710, ,Norfolk city VA,"Norfolk, VA",2874,1
23601,51700, ,Newport News city VA,"Newport News, VA",11500,1
23602,51199, ,York VA,"Newport News, VA",48,0.003
23602,51700, ,Newport News city VA,"Newport News, VA",16758,0.997
23603,51199, ,York VA,"Newport News, VA",77,0.051
23603,51700, ,Newport News city VA,"Newport News, VA",1422,0.949
23604,51700, ,Newport News city VA,"Newport News, VA",899,1
23605,51650, ,Hampton city VA,"Newport News, VA",1669,0.25
23605,51700, ,Newport News city VA,"Newport News, VA",5014,0.75
23606,51700, ,Newport News city VA,"Newport News, VA",12297,1
23607,51700, ,Newport News city VA,"Newport News, VA",10689,1
23608,51700, ,Newport News city VA,"Newport News, VA",17619,1
23651,51650, ,Hampton city VA,"Hampton, VA",329,1
23661,51650, ,Hampton city VA,"Hampton, VA",6337,1
23662,51735, ,Poquoson city VA,"Poquoson, VA",4726,1
23663,51650, ,Hampton city VA,"Hampton, VA",5837,1
23664,51650, ,Hampton city VA,"Hampton, VA",4799,1
23665,51199, ,York VA,"Bethel Manor, VA",1217,0.83
23665,51650, ,Hampton city VA,"Bethel Manor, VA",249,0.17
23666,51650, ,Hampton city VA,"Hampton, VA",22464,1
23669,51650, ,Hampton city VA,"Hampton, VA",17882,1
23690,51199, ,York VA,"Yorktown, VA",1176,1
23691,51199, ,York VA,"Yorktown, VA",35,1
23692,51199, ,York VA,"Yorktown, VA",7824,1
23693,51199, ,York VA,"Yorktown, VA",8745,1
23696,51199, ,York VA,"Seaford, VA",1481,1
23701,51740, ,Portsmouth city VA,"Portsmouth, VA",10336,1
23702,51740, ,Portsmouth city VA,"Portsmouth, VA",4954,1
23703,51740, ,Portsmouth city VA,"Portsmouth, VA",10536,1
23704,51740, ,Portsmouth city VA,"Portsmouth, VA",8682,1
23707,51740, ,Portsmouth city VA,"Portsmouth, VA",6298,1
23801,51149, ,Prince George VA,"Fort Lee, VA",866,1
23803,51041, ,Chesterfield VA,"Petersburg, VA",4197,0.228
23803,51053, ,Dinwiddie VA,"Petersburg, VA",4137,0.224
23803,51730, ,Petersburg city VA,"Petersburg, VA",10103,0.548
23805,51053, ,Dinwiddie VA,"Petersburg, VA",721,0.083
23805,51149, ,Prince George VA,"Petersburg, VA",1779,0.204
23805,51730, ,Petersburg city VA,"Petersburg, VA",6223,0.713
23806,51041, ,Chesterfield VA,"Ettrick, VA",1,1
23821,51025, ,Brunswick VA,"Alberta, VA",820,1
23824,51025, ,Brunswick VA,"Blackstone, VA",126,0.037
23824,51053, ,Dinwiddie VA,"Blackstone, VA",46,0.014
23824,51111, ,Lunenburg VA,"Blackstone, VA",33,0.01
23824,51135, ,Nottoway VA,"Blackstone, VA",3169,0.939
23827,51175, ,Southampton VA,"Boykins, VA",681,1
23828,51175, ,Southampton VA,"Branchville, VA",180,1
23829,51175, ,Southampton VA,"Capron, VA",541,1
23830,51053, ,Dinwiddie VA,"Carson, VA",263,0.412
23830,51149, ,Prince George VA,"Carson, VA",263,0.412
23830,51183, ,Sussex VA,"Carson, VA",112,0.176
23831,51041, ,Chesterfield VA,"Chester, VA",13140,1
23832,51041, ,Chesterfield VA,"Chesterfield, VA",11953,1
23833,51007, ,Amelia VA,"Church Road, VA",77,0.079
23833,51053, ,Dinwiddie VA,"Church Road, VA",893,0.921
23834,51041, ,Chesterfield VA,"Colonial Heights, VA",3103,0.284
23834,51570, ,Colonial Heights city VA,"Colonial Heights, VA",7831,0.716
23836,51041, ,Chesterfield VA,"Chester, VA",4674,1
23837,51175, ,Southampton VA,"Courtland, VA",1785,0.982
23837,51183, ,Sussex VA,"Courtland, VA",32,0.018
23838,51041, ,Chesterfield VA,"Chesterfield, VA",5586,1
23839,51181, ,Surry VA,"Dendron, VA",347,1
23840,51053, ,Dinwiddie VA,"Dewitt, VA",754,1
23841,51053, ,Dinwiddie VA,"Dinwiddie, VA",1440,1
23842,51149, ,Prince George VA,"Disputanta, VA",2525,0.92
23842,51181, ,Surry VA,"Disputanta, VA",24,0.009
23842,51183, ,Sussex VA,"Disputanta, VA",197,0.072
23843,51025, ,Brunswick VA,"Dolphin, VA",354,1
23844,51175, ,Southampton VA,"Drewryville, VA",364,1
23845,51025, ,Brunswick VA,"Ebony, VA",253,1
23846,51181, ,Surry VA,"Elberon, VA",397,1
23847,51025, ,Brunswick VA,"Emporia, VA",214,0.035
23847,51081, ,Greensville VA,"Emporia, VA",3162,0.519
23847,51175, ,Southampton VA,"Emporia, VA",94,0.015
23847,51183, ,Sussex VA,"Emporia, VA",57,0.009
23847,51595, ,Emporia city VA,"Emporia, VA",2565,0.421
23850,51007, ,Amelia VA,"Ford, VA",119,0.249
23850,51053, ,Dinwiddie VA,"Ford, VA",358,0.751
23851,51093, ,Isle of Wight VA,"Franklin, VA",516,0.085
23851,51175, ,Southampton VA,"Franklin, VA",1671,0.274
23851,51620, ,Franklin city VA,"Franklin, VA",3901,0.641
23856,51025, ,Brunswick VA,"Freeman, VA",509,0.962
23856,51081, ,Greensville VA,"Freeman, VA",20,0.038
23857,51025, ,Brunswick VA,"Gasburg, VA",388,1
23860,51149, ,Prince George VA,"Hopewell, VA",1929,0.16
23860,51670, ,Hopewell city VA,"Hopewell, VA",10121,0.84
23866,51093, ,Isle of Wight VA,"Ivor, VA",220,0.225
23866,51175, ,Southampton VA,"Ivor, VA",757,0.775
23867,51081, ,Greensville VA,"Jarratt, VA",564,0.518
23867,51183, ,Sussex VA,"Jarratt, VA",525,0.482
23868,51025, ,Brunswick VA,"Lawrenceville, VA",2503,1
23872,51053, ,Dinwiddie VA,"Mc Kenney, VA",1038,1
23874,51175, ,Southampton VA,"Newsoms, VA",463,1
23875,51149, ,Prince George VA,"Prince George, VA",4477,1
23876,51025, ,Brunswick VA,"Rawlings, VA",237,1
23878,51175, ,Southampton VA,"Sedley, VA",502,1
23879,51081, ,Greensville VA,"Skippers, VA",344,1
23881,51149, ,Prince George VA,"Spring Grove, VA",217,0.198
23881,51181, ,Surry VA,"Spring Grove, VA",879,0.802
23882,51053, ,Dinwiddie VA,"Stony Creek, VA",333,0.27
23882,51183, ,Sussex VA,"Stony Creek, VA",899,0.73
23883,51181, ,Surry VA,"Surry, VA",1227,1
23884,51183, ,Sussex VA,"Sussex, VA",6,1
23885,51053, ,Dinwiddie VA,"Sutherland, VA",1138,1
23887,51025, ,Brunswick VA,"Gasburg, VA",611,1
23888,51175, ,Southampton VA,"Wakefield, VA",122,0.112
23888,51181, ,Surry VA,"Wakefield, VA",123,0.113
23888,51183, ,Sussex VA,"Wakefield, VA",848,0.776
23889,51025, ,Brunswick VA,"Warfield, VA",276,1
23890,51181, ,Surry VA,"Waverly, VA",240,0.123
23890,51183, ,Sussex VA,"Waverly, VA",1706,0.877
23891,51183, ,Sussex VA,"Sussex Correctional Facility, Waverly, V",1,1
23893,51025, ,Brunswick VA,"White Plains, VA",227,1
23894,51053, ,Dinwiddie VA,"Wilsons, VA",301,1
23897,51183, ,Sussex VA,"Yale, VA",313,1
23898,51093, ,Isle of Wight VA,"Zuni, VA",584,0.651
23898,51175, ,Southampton VA,"Zuni, VA",313,0.349
23899,51181, ,Surry VA,"Claremont, VA",207,1
23901,51029, ,Buckingham VA,"Farmville, VA",499,0.073
23901,51049, ,Cumberland VA,"Farmville, VA",1577,0.23
23901,51147, ,Prince Edward VA,"Farmville, VA",4782,0.697
23915,51117, ,Mecklenburg VA,"Baskerville, VA",347,1
23917,51117, ,Mecklenburg VA,"Boydton, VA",1890,1
23919,51025, ,Brunswick VA,"Bracey, VA",110,0.039
23919,51117, ,Mecklenburg VA,"Bracey, VA",2747,0.961
23920,51025, ,Brunswick VA,"Brodnax, VA",1246,0.739
23920,51111, ,Lunenburg VA,"Brodnax, VA",61,0.036
23920,51117, ,Mecklenburg VA,"Brodnax, VA",379,0.225
23921,51029, ,Buckingham VA,"Buckingham, VA",1045,1
23922,51135, ,Nottoway VA,"Burkeville, VA",783,0.772
23922,51147, ,Prince Edward VA,"Burkeville, VA",231,0.228
23923,51037, ,Charlotte VA,"Charlotte Court House, VA",1210,0.958
23923,51147, ,Prince Edward VA,"Charlotte Court House, VA",53,0.042
23924,51037, ,Charlotte VA,"Chase City, VA",53,0.017
23924,51111, ,Lunenburg VA,"Chase City, VA",118,0.038
23924,51117, ,Mecklenburg VA,"Chase City, VA",2943,0.945
23927,51117, ,Mecklenburg VA,"Clarksville, VA",3330,1
23930,51135, ,Nottoway VA,"Crewe, VA",2670,1
23934,51037, ,Charlotte VA,"Cullen, VA",177,0.524
23934,51147, ,Prince Edward VA,"Cullen, VA",161,0.476
23936,51029, ,Buckingham VA,"Dillwyn, VA",2756,0.977
23936,51049, ,Cumberland VA,"Dillwyn, VA",64,0.023
23937,51037, ,Charlotte VA,"Drakes Branch, VA",852,0.875
23937,51111, ,Lunenburg VA,"Drakes Branch, VA",122,0.125
23938,51025, ,Brunswick VA,"Dundas, VA",137,0.659
23938,51111, ,Lunenburg VA,"Dundas, VA",71,0.341
23942,51111, ,Lunenburg VA,"Green Bay, VA",145,0.262
23942,51147, ,Prince Edward VA,"Green Bay, VA",409,0.738
23943,51147, ,Prince Edward VA,"Hampden-Sydney, VA",42,1
23944,51111, ,Lunenburg VA,"Kenbridge, VA",2134,1
23947,51037, ,Charlotte VA,"Keysville, VA",1228,0.576
23947,51111, ,Lunenburg VA,"Keysville, VA",721,0.338
23947,51147, ,Prince Edward VA,"Keysville, VA",184,0.086
23950,51025, ,Brunswick VA,"La Crosse, VA",155,0.099
23950,51117, ,Mecklenburg VA,"La Crosse, VA",1418,0.901
23952,51111, ,Lunenburg VA,"Lunenburg, VA",105,1
23954,51111, ,Lunenburg VA,"Meherrin, VA",255,0.262
23954,51147, ,Prince Edward VA,"Meherrin, VA",718,0.738
23958,51011, ,Appomattox VA,"Pamplin, VA",709,0.462
23958,51037, ,Charlotte VA,"Pamplin, VA",96,0.063
23958,51147, ,Prince Edward VA,"Pamplin, VA",731,0.476
23959,51037, ,Charlotte VA,"Phenix, VA",614,1
23960,51011, ,Appomattox VA,"Prospect, VA",19,0.021
23960,51147, ,Prince Edward VA,"Prospect, VA",871,0.979
23962,51037, ,Charlotte VA,"Randolph, VA",250,0.731
23962,51083, ,Halifax VA,"Randolph, VA",92,0.269
23963,51011, ,Appomattox VA,"Red House, VA",16,0.061
23963,51031, ,Campbell VA,"Red House, VA",34,0.129
23963,51037, ,Charlotte VA,"Red House, VA",214,0.811
23964,51037, ,Charlotte VA,"Red Oak, VA",560,0.915
23964,51117, ,Mecklenburg VA,"Red Oak, VA",52,0.085
23966,51007, ,Amelia VA,"Rice, VA",80,0.076
23966,51147, ,Prince Edward VA,"Rice, VA",967,0.924
23967,51037, ,Charlotte VA,"Saxe, VA",581,1
23968,51117, ,Mecklenburg VA,"Skipwith, VA",464,1
23970,51111, ,Lunenburg VA,"South Hill, VA",205,0.052
23970,51117, ,Mecklenburg VA,"South Hill, VA",3713,0.948
23974,51111, ,Lunenburg VA,"Victoria, VA",1965,1
23976,51037, ,Charlotte VA,"Wylliesburg, VA",137,1
24011,51770, ,Roanoke city VA,"Roanoke, VA",153,1
24012,51023, ,Botetourt VA,"Roanoke, VA",445,0.033
24012,51161, ,Roanoke VA,"Roanoke, VA",2651,0.195
24012,51770, ,Roanoke city VA,"Roanoke, VA",10490,0.772
24013,51770, ,Roanoke city VA,"Roanoke, VA",3609,1
24014,51161, ,Roanoke VA,"Roanoke, VA",2071,0.248
24014,51770, ,Roanoke city VA,"Roanoke, VA",6264,0.752
24015,51161, ,Roanoke VA,"Roanoke, VA",108,0.014
24015,51770, ,Roanoke city VA,"Roanoke, VA",7691,0.986
24016,51770, ,Roanoke city VA,"Roanoke, VA",4751,1
24017,51770, ,Roanoke city VA,"Roanoke, VA",10877,1
24018,51161, ,Roanoke VA,"Cave Spring, VA",14827,0.879
24018,51770, ,Roanoke city VA,"Cave Spring, VA",2040,0.121
24019,51023, ,Botetourt VA,"Hollins, VA",1640,0.145
24019,51161, ,Roanoke VA,"Hollins, VA",8058,0.715
24019,51770, ,Roanoke city VA,"Hollins, VA",1578,0.14
24020,51161, ,Roanoke VA,"Hollins, VA",34,1
24053,51035, ,Carroll VA,"Ararat, VA",48,0.033
24053,51141, ,Patrick VA,"Ararat, VA",1404,0.967
24054,51089, ,Henry VA,"Axton, VA",2253,0.711
24054,51143, ,Pittsylvania VA,"Axton, VA",918,0.289
24055,51067, ,Franklin VA,"Bassett, VA",296,0.044
24055,51089, ,Henry VA,"Bassett, VA",6097,0.917
24055,51141, ,Patrick VA,"Bassett, VA",259,0.039
24058,51155, ,Pulaski VA,"Belspring, VA",160,1
24059,51067, ,Franklin VA,"Bent Mountain, VA",20,0.048
24059,51161, ,Roanoke VA,"Bent Mountain, VA",400,0.952
24060,51121, ,Montgomery VA,"Blacksburg, VA",20255,1
24064,51019, ,Bedford VA  (R),"Blue Ridge, VA",642,0.31
24064,51023, ,Botetourt VA,"Blue Ridge, VA",1428,0.69
24065,51067, ,Franklin VA,"Boones Mill, VA",2299,0.83
24065,51161, ,Roanoke VA,"Boones Mill, VA",472,0.17
24066,51023, ,Botetourt VA,"Buchanan, VA",2344,0.982
24066,51163, ,Rockbridge VA,"Buchanan, VA",43,0.018
24067,51067, ,Franklin VA,"Callaway, VA",1067,1
24069,51143, ,Pittsylvania VA,"Cascade, VA",884,1
24070,51045, ,Craig VA,"Catawba, VA",153,0.252
24070,51121, ,Montgomery VA,"Catawba, VA",9,0.015
24070,51161, ,Roanoke VA,"Catawba, VA",446,0.734
24072,51063, ,Floyd VA,"Check, VA",605,1
24073,51121, ,Montgomery VA,"Christiansburg, VA",13314,1
24076,51141, ,Patrick VA,"Claudville, VA",517,1
24077,51023, ,Botetourt VA,"Cloverdale, VA",447,1
24078,51089, ,Henry VA,"Collinsville, VA",3559,1
24079,51063, ,Floyd VA,"Copper Hill, VA",940,0.994
24079,51067, ,Franklin VA,"Copper Hill, VA",6,0.006
24082,51141, ,Patrick VA,"Critz, VA",182,1
24083,51023, ,Botetourt VA,"Daleville, VA",1172,1
24084,51021, ,Bland VA,"Dublin, VA",161,0.031
24084,51155, ,Pulaski VA,"Dublin, VA",5027,0.969
24085,51005, ,Alleghany VA,"Eagle Rock, VA",5,0.004
24085,51023, ,Botetourt VA,"Eagle Rock, VA",1290,0.996
24086,51071, ,Giles VA,"Eggleston, VA",112,1
24087,51121, ,Montgomery VA,"Elliston, VA",1651,0.967
24087,51161, ,Roanoke VA,"Elliston, VA",56,0.033
24088,51067, ,Franklin VA,"Ferrum, VA",2243,0.951
24088,51141, ,Patrick VA,"Ferrum, VA",116,0.049
24089,51089, ,Henry VA,"Fieldale, VA",1327,1
24090,51023, ,Botetourt VA,"Fincastle, VA",2057,1
24091,51063, ,Floyd VA,"Floyd, VA",3580,0.981
