zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
22182,51059, ,Fairfax VA,"Wolf Trap, VA",9143,1
22191,51153, ,Prince William VA,"Marumsco, VA",20329,1
22192,51153, ,Prince William VA,"Lake Ridge, VA",20113,1
22193,51153, ,Prince William VA,"Dale City, VA",23150,1
22201,51013, ,Arlington VA,"Arlington, VA",18985,1
22202,51013, ,Arlington VA,"Arlington, VA",15278,1
22203,51013, ,Arlington VA,"Arlington, VA",12018,1
22204,51013, ,Arlington VA,"Arlington, VA",21078,1
22205,51013, ,Arlington VA,"Arlington, VA",6622,0.999
22205,51610, ,Falls Church city VA,"Arlington, VA",6,0.001
22206,51013, ,Arlington VA,"Arlington, VA",10440,0.977
22206,51510, ,Alexandria city VA,"Arlington, VA",249,0.023
22207,51013, ,Arlington VA,"Arlington, VA",11696,0.997
22207,51059, ,Fairfax VA,"Arlington, VA",33,0.003
22209,51013, ,Arlington VA,"Arlington, VA",7975,1
22211,51013, ,Arlington VA,"Arlington, VA",61,1
22213,51013, ,Arlington VA,"Arlington, VA",1231,1
22301,51510, ,Alexandria city VA,"Alexandria, VA",5017,1
22302,51059, ,Fairfax VA,"Alexandria, VA",669,0.075
22302,51510, ,Alexandria city VA,"Alexandria, VA",8266,0.925
22303,51059, ,Fairfax VA,"Huntington, VA",6858,1
22304,51059, ,Fairfax VA,"Alexandria, VA",76,0.003
22304,51510, ,Alexandria city VA,"Alexandria, VA",22890,0.997
22305,51510, ,Alexandria city VA,"Alexandria, VA",6863,1
22306,51059, ,Fairfax VA,"Hybla Valley, VA",12312,1
22307,51059, ,Fairfax VA,"Belle Haven, VA",4655,1
22308,51059, ,Fairfax VA,"Fort Hunt, VA",4741,1
22309,51059, ,Fairfax VA,"Woodlawn, VA",12264,1
22310,51059, ,Fairfax VA,"Rose Hill, VA",11818,1
22311,51059, ,Fairfax VA,"Alexandria, VA",437,0.05
22311,51510, ,Alexandria city VA,"Alexandria, VA",8307,0.95
22312,51059, ,Fairfax VA,"Lincolnia, VA",8719,0.732
22312,51510, ,Alexandria city VA,"Lincolnia, VA",3200,0.268
22314,51510, ,Alexandria city VA,"Alexandria, VA",17584,1
22315,51059, ,Fairfax VA,"Kingstowne, VA",10988,1
22401,51630, ,Fredericksburg city VA,"Fredericksburg, VA",10467,1
22405,51179, ,Stafford VA,"Fredericksburg, VA",10632,1
22406,51061, ,Fauquier VA,"Fredericksburg, VA",6,0.001
22406,51179, ,Stafford VA,"Fredericksburg, VA",7689,0.999
22407,51177, ,Spotsylvania VA,"Fredericksburg, VA",19758,1
22408,51033, ,Caroline VA,"Fredericksburg, VA",98,0.01
22408,51177, ,Spotsylvania VA,"Fredericksburg, VA",9630,0.99
22427,51033, ,Caroline VA,"Bowling Green, VA",1318,1
22432,51133, ,Northumberland VA,"Burgess, VA",241,1
22433,51137, ,Orange VA,"Burr Hill, VA",89,1
22435,51133, ,Northumberland VA,"Callao, VA",1136,0.952
