ZCTA,Age_Cat0_Pct,Age_Cat1_Pct,Age_Cat2_Pct,Age_Cat3_Pct,Age_Cat4_Pct,Age_Child_Pct,Age_Adult_Pct,Age_Retired_Pct,Inc_Cat0_Pct,Inc_Cat1_Pct,Inc_Cat2_Pct,Bachelor_Plus_Pct,Black_Pct,Asian_Pct,Hispanic_Pct,Rural_Pct,Population_Density
22901,2.4289915602982237,3.9999999999999996,32.6,5.727128425310542,3.5637059362410923,4.679743582719036,60.3,4.219004621945797,4.049691346263317,3.977810745966149,30.200000000000003,7.231873892705818,3.609247772824463,1.8693630216892496,2.4967888404665706,16.59596704782983,6.434308557022946
22902,2.5298221281347035,3.8078865529319543,43.7,5.310367218940701,2.6645825188948455,4.571651780264984,67.3,3.420526275297414,4.505552130427524,3.975936331171799,26.5,6.730527468185536,3.838626057672271,1.7890447160304817,3.3240275864703785,13.301606747396692,5.91835121515754
22903,2.1447610589527217,4.0,50.3,4.743416490252569,2.569046515733026,4.538722287164087,69.6,3.1304951684997055,5.253570214625479,3.7887247890836524,28.200000000000003,7.829431652425353,3.9467412958305816,3.089922957457343,1.8662638341400202,16.88770305265636,6.250050888501551
22911,2.701851217221259,4.39317652729776,31.1,5.403702434442518,3.63318042491699,5.157518783291051,56.199999999999996,4.159326868617084,3.0166206257996713,4.021773869387265,35.1,7.280109889280518,2.897880297845541,2.211513251851192,2.2014379682367204,28.063364848788428,5.853261341152827
22920,1.9235384061671346,3.9496835316262997,23.3,6.663332499583072,3.5777087639996634,4.39317652729776,57.6,4.78539444560216,3.8340579025361627,4.04305126783455,28.299999999999997,6.196773353931867,1.5832456116050557,0.6928203230275509,2.2568414506414345,100.0,3.901473478644002
22922,1.8973665961010275,5.394441583704471,29.5,5.099019513592785,3.391164991562634,5.718391382198319,51.2,3.9749213828703582,5.263078946776307,4.019980146933238,16.599999999999998,4.43846820423443,5.126988222187825,0.0,0.0,100.0,3.641262191977732
22923,2.280350850198276,3.9115214431215892,25.6,6.670832032063167,3.065941943351178,4.527692569068709,63.900000000000006,3.9496835316263,3.082207001484488,4.147885329150131,27.2,5.639148871948674,3.479169853721751,1.5336189303473893,0.8777690514621629,73.84309831181729,4.582062441088999
22931,2.949576240750525,3.9749213828703582,26.6,6.6332495807108,2.23606797749979,4.949747468305833,64.1,3.391164991562634,2.4698178070456938,3.9646154555473165,41.2,7.05691150575094,2.42535625036333,0.0,1.362932551272764,100.0,2.8766846849085255
22932,2.4698178070456938,4.8270073544588685,26.6,5.890670590009257,3.0495901363953815,5.422176684690384,57.5,3.6193922141707713,4.183300132670378,3.8815637979434374,33.9,7.085195833567341,2.2363407186092386,1.9033745920772687,1.5851839016188927,41.54647435897436,4.323224299305546
22935,1.8973665961010275,4.494441010848846,31.700000000000003,5.787918451395113,3.3316662497915366,4.878524367060187,57.50000000000001,4.33589667773576,4.764451699828638,3.858622228701031,29.7,3.9370039370059056,0.5862103817605492,0.0,0.9572775448236508,100.0,3.699848679536839
22936,2.16794833886788,4.2895221179054435,19.3,6.81175454637056,3.3166247903554,4.806245936279167,55.800000000000004,4.571651780264984,3.146426544510455,3.5380565643793527,55.7,7.516648189186454,2.1956186692810027,0.9332600258641951,2.0819741025435796,98.33092932206883,4.890796864651529
22937,2.345207879911715,4.505552130427524,30.3,5.873670062235365,3.0983866769659336,5.079370039680118,57.1,4.159326868617084,5.630275304103699,3.914021008090819,18.4,4.266145801540309,6.496579309542308,0.9907190567575819,0.0,100.0,3.62709923491433
22938,1.816590212458495,4.868264577855235,31.0,6.041522986797286,2.3664319132398464,5.196152422706632,57.0,4.012480529547776,2.8106938645110393,4.131961425793407,29.9,5.458937625582473,4.851099181145044,0.0,3.388154635894692,100.0,3.606288525718144
